,dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
170,iris,4,distance,euclidean,4,0.9506666666666668,0.950940208461814,0.9506666666666668,0.9506948090789924
171,iris,4,distance,euclidean,5,0.9494666666666668,0.9497061714227986,0.9494666666666666,0.9494940981613844
172,iris,4,distance,euclidean,6,0.9511333333333332,0.9513887328261371,0.9511333333333332,0.9511616419683456
173,iris,4,distance,euclidean,7,0.9519333333333332,0.9520984233997668,0.9519333333333336,0.9519440092013424
174,iris,4,distance,euclidean,8,0.9511333333333332,0.9513629683720998,0.9511333333333332,0.9511608949349479
175,iris,4,distance,euclidean,9,0.952,0.9521833623192866,0.9519999999999998,0.9520129316973316
176,iris,4,sqrt-order,manhattan,2,0.9447333333333332,0.9450195793463736,0.9447333333333332,0.944718370175884
177,iris,4,sqrt-order,manhattan,3,0.9451333333333334,0.9452843235219084,0.9451333333333334,0.9451252937778659
178,iris,4,sqrt-order,manhattan,4,0.9448666666666669,0.9449821070689132,0.9448666666666669,0.944860484367284
179,iris,4,sqrt-order,manhattan,5,0.9456,0.9456931567498796,0.9456,0.945595265488934
180,iris,4,sqrt-order,manhattan,6,0.9474666666666668,0.9475296575040272,0.9474666666666668,0.9474637326557784
181,iris,4,sqrt-order,manhattan,7,0.9473333333333336,0.9473921522455137,0.9473333333333332,0.9473306928451948
182,iris,4,sqrt-order,manhattan,8,0.9460666666666668,0.9461299396681748,0.9460666666666668,0.946063472725824
183,iris,4,sqrt-order,manhattan,9,0.9465333333333336,0.9465936729201764,0.9465333333333332,0.9465303991461888
184,iris,4,sqrt-order,euclidean,2,0.9457333333333332,0.9464952327148918,0.9457333333333334,0.9457824666606792
185,iris,4,sqrt-order,euclidean,3,0.9458666666666669,0.94634648925722,0.9458666666666666,0.9459067658879441
186,iris,4,sqrt-order,euclidean,4,0.9495333333333332,0.9498119501339466,0.9495333333333332,0.9495768465848056
187,iris,4,sqrt-order,euclidean,5,0.9504666666666666,0.9507142152382476,0.9504666666666666,0.9504893078269206
188,iris,4,sqrt-order,euclidean,6,0.9502,0.9504194560605332,0.9502,0.9502233385143212
189,iris,4,sqrt-order,euclidean,7,0.9505333333333332,0.950705100599898,0.9505333333333332,0.9505511246109051
190,iris,4,sqrt-order,euclidean,8,0.9510666666666668,0.9512390358104146,0.9510666666666664,0.9510760758903496
191,iris,4,sqrt-order,euclidean,9,0.9501333333333334,0.950328719507258,0.9501333333333334,0.9501539476218984
192,iris,5,uniform,manhattan,2,0.9495333333333332,0.9499456531690176,0.9495333333333332,0.9495143213573722
193,iris,5,uniform,manhattan,3,0.9494,0.9496688647405148,0.9494,0.9493880530247802
194,iris,5,uniform,manhattan,4,0.9499333333333332,0.9501960454166946,0.9499333333333334,0.9499218672390872
195,iris,5,uniform,manhattan,5,0.9501333333333336,0.9504091416236898,0.9501333333333332,0.9501214741228572
196,iris,5,uniform,manhattan,6,0.9502666666666666,0.9504735124879916,0.9502666666666666,0.9502576229444468
197,iris,5,uniform,manhattan,7,0.9502000000000002,0.9504129266610556,0.9502,0.9501907888736284
198,iris,5,uniform,manhattan,8,0.9501333333333334,0.9502948734003682,0.9501333333333332,0.9501263310963266
199,iris,5,uniform,manhattan,9,0.9520666666666666,0.95225881335066,0.9520666666666668,0.9520589501439694
200,iris,5,uniform,euclidean,2,0.9515333333333336,0.9522176546958184,0.9515333333333332,0.951526361137686
201,iris,5,uniform,euclidean,3,0.9523333333333333,0.952855944445678,0.9523333333333333,0.9523429926159682
202,iris,5,uniform,euclidean,4,0.9536666666666668,0.9540738925153168,0.9536666666666668,0.9536830632534083
203,iris,5,uniform,euclidean,5,0.9508666666666667,0.9511508065001326,0.9508666666666666,0.9508785132341738
204,iris,5,uniform,euclidean,6,0.9517333333333332,0.951942688623072,0.9517333333333332,0.9517356059969018
205,iris,5,uniform,euclidean,7,0.9504,0.9506570594228764,0.9504,0.9504090817816752
206,iris,5,uniform,euclidean,8,0.9517333333333332,0.9518970865484404,0.9517333333333332,0.9517329520818816
207,iris,5,uniform,euclidean,9,0.9507333333333334,0.9508831205728544,0.9507333333333334,0.950738479925919
208,iris,5,distance,manhattan,2,0.9519999999999998,0.952319286206822,0.9519999999999998,0.9519854637675642
209,iris,5,distance,manhattan,3,0.9512666666666668,0.9514455598236916,0.9512666666666668,0.9512589486212368
210,iris,5,distance,manhattan,4,0.9513333333333333,0.9514434346228172,0.9513333333333333,0.9513288254474505
211,iris,5,distance,manhattan,5,0.9522666666666668,0.9523868686600108,0.9522666666666664,0.9522620119393208
212,iris,5,distance,manhattan,6,0.9514666666666663,0.9515843248914712,0.9514666666666663,0.9514620384804704
213,iris,5,distance,manhattan,7,0.9512,0.9513030394842268,0.9512,0.9511957321540316
214,iris,5,distance,manhattan,8,0.952,0.9521038677009268,0.9519999999999998,0.9519959459251246
215,iris,5,distance,manhattan,9,0.952,0.9520923207744636,0.952,0.9519963995119
216,iris,5,distance,euclidean,2,0.9540666666666664,0.9544643155560988,0.9540666666666666,0.9540690582810452
217,iris,5,distance,euclidean,3,0.9557333333333332,0.9561165256533728,0.9557333333333334,0.9557405382522915
218,iris,5,distance,euclidean,4,0.9556666666666668,0.9559424449169268,0.9556666666666668,0.9556887370432527
219,iris,5,distance,euclidean,5,0.9544666666666668,0.9546803129320288,0.9544666666666668,0.9544747665436748
220,iris,5,distance,euclidean,6,0.9542666666666668,0.9544679937480784,0.9542666666666666,0.954276451932608
221,iris,5,distance,euclidean,7,0.9542666666666668,0.9544340053970306,0.9542666666666666,0.9542818734294398
222,iris,5,distance,euclidean,8,0.9527333333333332,0.9528928846561526,0.9527333333333332,0.9527458830235084
223,iris,5,distance,euclidean,9,0.9521999999999998,0.9522953896943394,0.9522,0.9521984927824516
224,iris,5,sqrt-order,manhattan,2,0.948,0.9484281466052459,0.948,0.947979203848011
225,iris,5,sqrt-order,manhattan,3,0.9487333333333332,0.9489599761048231,0.9487333333333332,0.9487228675149929
226,iris,5,sqrt-order,manhattan,4,0.9485333333333332,0.948664554922938,0.9485333333333332,0.9485274245227321
227,iris,5,sqrt-order,manhattan,5,0.9498,0.9499251095800626,0.9498000000000002,0.9497942169866334
228,iris,5,sqrt-order,manhattan,6,0.9492666666666666,0.9494033144026842,0.9492666666666666,0.9492604583707672
229,iris,5,sqrt-order,manhattan,7,0.9508,0.950920812684048,0.9508,0.9507948387155644
230,iris,5,sqrt-order,manhattan,8,0.95,0.9501577937395842,0.95,0.949992702701287
231,iris,5,sqrt-order,manhattan,9,0.9517333333333332,0.9518609051312832,0.9517333333333332,0.9517278654956332
232,iris,5,sqrt-order,euclidean,2,0.9475333333333332,0.948246439251634,0.9475333333333332,0.9475825136677792
233,iris,5,sqrt-order,euclidean,3,0.9481333333333336,0.9486918230182436,0.9481333333333336,0.948170542569234
234,iris,5,sqrt-order,euclidean,4,0.9474,0.9478562829233425,0.9474,0.947443397589552
235,iris,5,sqrt-order,euclidean,5,0.9485333333333332,0.9488272513837728,0.9485333333333332,0.948557318880988
236,iris,5,sqrt-order,euclidean,6,0.9486,0.9488982657533472,0.9486,0.948637295171008
237,iris,5,sqrt-order,euclidean,7,0.9469333333333336,0.9471314944613366,0.9469333333333332,0.9469640836811284
238,iris,5,sqrt-order,euclidean,8,0.9469333333333336,0.9470947019137458,0.9469333333333336,0.946939285068266
239,iris,5,sqrt-order,euclidean,9,0.9486666666666668,0.9488224071200086,0.9486666666666664,0.9486829675637422
240,iris,6,uniform,manhattan,2,0.9478,0.9492357697178088,0.9478,0.9477315706916536
241,iris,6,uniform,manhattan,3,0.9516,0.9528701695636774,0.9516,0.9515445097414126
242,iris,6,uniform,manhattan,4,0.9506666666666664,0.9518052082733588,0.9506666666666668,0.95061755354845
243,iris,6,uniform,manhattan,5,0.9516666666666664,0.9526643026677724,0.9516666666666668,0.9516257834634152
244,iris,6,uniform,manhattan,6,0.95,0.9508787811441051,0.95,0.9499632772736452
245,iris,6,uniform,manhattan,7,0.951,0.95192822278474,0.951,0.9509619364231782
246,iris,6,uniform,manhattan,8,0.9507333333333332,0.9516275948362198,0.9507333333333334,0.9506975283361792
247,iris,6,uniform,manhattan,9,0.9502666666666668,0.951175881964162,0.9502666666666666,0.9502289195496167
248,iris,6,uniform,euclidean,2,0.9488,0.951300747387798,0.9488,0.9486872437040816
249,iris,6,uniform,euclidean,3,0.9494666666666666,0.9518040811605768,0.9494666666666666,0.9493599709853946
250,iris,6,uniform,euclidean,4,0.9520666666666664,0.954162676447388,0.9520666666666668,0.9519747926369536
251,iris,6,uniform,euclidean,5,0.9541333333333332,0.9559131788191476,0.9541333333333334,0.9540600974485324
252,iris,6,uniform,euclidean,6,0.9530666666666668,0.9548517453485325,0.9530666666666668,0.9529908146245164
253,iris,6,uniform,euclidean,7,0.9532,0.9548847135781156,0.9532000000000002,0.9531293065842558
254,iris,6,uniform,euclidean,8,0.9537333333333332,0.9553914994494308,0.9537333333333332,0.953664069661986
255,iris,6,uniform,euclidean,9,0.9542666666666668,0.9558354319214796,0.9542666666666666,0.9542020580246204
256,iris,6,distance,manhattan,2,0.9507333333333334,0.9509935851291386,0.9507333333333332,0.9507212394524748
257,iris,6,distance,manhattan,3,0.9498,0.949898108537489,0.9497999999999998,0.9497954986692986
258,iris,6,distance,manhattan,4,0.9477333333333336,0.9478601770241084,0.9477333333333332,0.9477276647709428
259,iris,6,distance,manhattan,5,0.9469333333333332,0.947034606663178,0.9469333333333336,0.9469286255076088
260,iris,6,distance,manhattan,6,0.9470666666666666,0.9471593878577071,0.9470666666666668,0.9470624924677342
261,iris,6,distance,manhattan,7,0.9469333333333334,0.9470051810467776,0.9469333333333336,0.946929945943774
262,iris,6,distance,manhattan,8,0.9462666666666664,0.9463362203855902,0.9462666666666668,0.9462633726357832
263,iris,6,distance,manhattan,9,0.9471333333333334,0.9471953802033634,0.9471333333333336,0.9471304994925264
264,iris,6,distance,euclidean,2,0.9538666666666664,0.9543382424777505,0.9538666666666664,0.9538757117677548
